Name,Booth,Category,Website,Address
ITA - ITALIAN TRADE AGENCY,P10,Military / Government,https://www.ice.it/en,"Via Liszt 21, Roma, Roma, Italy, 00144."
10Micron by Comec,G43,Materials Supplier,https://www.10micron.com,"Via Archimede 719, Caronno Pertusella, VA, Italy, 21042."
27G-Technology,D40,Research | Components – Electronic / Electrical | Test & Measurement,http://www.27g.space,"Iskola u. 8., Gödöllő, Hungary, 2100."
2NDSpace SRL,B40,Components – Electronic / Electrical | Satellite Operations / Development | Subsystem / Systems Supplier,http://www.2ndspace.eu,"Corso Mazzini 55, Faenza, Italy, 48018."
3D MicroPrint GmbH,Y20,Design / Engineering Services | Components – Mechanical / Other | Manufacturing,http://www.3dmicroprint.com,"Technologie-Campus 1, Chemnitz, Saxony, Germany, 09126."
3D PLUS,F11,Components – Electronic / Electrical | Electronics Manufacturing | Satellite Operations / Development,http://www.3d-plus.com,"408 Rue Hélène Boucher, Buc, Yvelines, France, 78530."
3D-WERK Black Forest GmbH,616,Materials Supplier | Manufacturing | Subsystem / Systems Supplier,http://www.3d-werk.shop,"Industriestraße 29, St. Georgen im Schwarzwald, Germany, 78112."
4iG Space and Defence Technologies,R21,Design / Engineering Services | Manufacturing | Satellite Operations / Development,https://4igsdt.hu/,"Krisztina krt. 39., Budapest, Hungary, H-1013."
5M s.r.o.,R36,Components – Mechanical / Other | Manufacturing | Subsystem / Systems Supplier,https://www.5m.cz/,"Na Záhonech 1177, Kunovice, Czech Republic, Czech Republic, 68604."
603 Optx,M52,Components – Mechanical / Other | Manufacturing | Optics,http://micro-lam.com,"80 Krif Rd #14, Keene, NH, United States, 03431."
6ROADS,N30,Research | Software Supplier / Developer | Satellite Operations / Development,https://6roads.com.pl/,"5D/U2 T. Szafrana Street, Cracow, Malopolska, Poland, 30-363."
A.C.M.H - ATELIERS DE CONSTRUCTION MECANIQUE DE HONFLEUR,U29,Design / Engineering Services | Manufacturing | Security / Government,http://www.acmh.fr,"Quai de la jetée de l'Est - BP50099, HONFLEUR, France, 14600."
AAC Clyde Space,A35,Satellite Operations / Development | Subsystem / Systems Supplier | Communications & Ground Systems,http://www.aac-clyde.space,"45 Finnieston Street, Glasgow, United Kingdom, G3 8JU."
ACKTAR (ACM Coatings GmbH),K45,Materials Supplier | Components – Mechanical / Other | Optics,https://de.acktar.com/,"Jakobsring 3, Naumburg, Germany, 06618."
ACORDE,L28,Electronics Manufacturing | Subsystem / Systems Supplier | Communications & Ground Systems,http://www.acorde.com,"c/ El Castro 22N, Santander, Spain, 39011."
ACTIA Aerospace,C18,Electronics Manufacturing | Satellite Operations / Development | Communications & Ground Systems,https://aerospace.actia.com/,"5 rue Jorge Semprun, Toulouse, Occitanie, France, 31432."
Acutronic Simulation & Test International,G47,Test & Measurement,http://www.acutronic.com,"Rosengartenstrasse 25, Bubikon, Switzerland, 8608."
